word,chinese_meaning,phonetic,part_of_speech,english_meaning
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵\nn. 放任, 无拘束, 狂热",ә'bændәn,,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry\nv. forsake, leave behind\nv. give up with the intent of never claiming again\nv. stop maintaining or insisting on; of ideas or claims"
abdomen,n. 腹部\n[医] 腹[部],'æbdәmen,,n. the region of the body of a vertebrate between the thorax and the pelvis
abide,"vi. 停留, 遵守, 居留, 继续下去\nvt. 忍受, 经受, 屈从于",ә'baid,,v dwell\nv put up with something or somebody unpleasant
ability,"n. 能力, 才干\n[经] 能力, 才能",ә'biliti,,n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment\nn. possession of the qualities (especially mental qualities) required to do something or get something done
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的\nn. 畸形的人",æb'nɒ:mәl,,a. not normal; not typical or usual or regular or conforming to a norm\na. departing from the normal in e.g. intelligence and development\ns. much greater than the normal
aboard,"adv. 在船上, 在火车上, 在飞机上\nprep. 在...之上",ә'bɒ:d,,"r. on a ship, train, plane or other vehicle\nr. on first or second or third base\nr. side by side\nr. part of a group"
abolish,"vt. 废止, 革除, 消灭\n[经] 废除, 取消, 裁撤",ә'bɒliʃ,,v. do away with
abound,"vi. 大量存在, 富于, 充满",ә'baund,,v. be abundant or plentiful; exist in large quantities\nv. be in a state of movement or action
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的",ә'brʌpt,,s. marked by sudden changes in subject and sharp transitions\ns. exceedingly sudden and unexpected\ns. extremely steep\ns. surprisingly and unceremoniously brusque in manner
absence,"n. 缺席, 缺乏, 没有\n[医] 失神",'æbsәns,,"n. the state of being absent\nn. failure to be present\nn. the time interval during which something or somebody is away\nn. the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的\nvt. 使缺席",'æbsәnt,,v. go away or leave\na. not being in a specified place\ns. lost in thought; showing preoccupation
absolute,"a. 绝对的, 专制的, 完全的, 独立的\nn. 绝对事物",'æbsәlu:t,,n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative\na. perfect or complete or pure\ns. complete and without restriction or qualification; sometimes used informally as intensifiers\ns. not limited by law
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担\n[医] 吸收",әb'sɒ:b,,"v. become imbued\nv. take up mentally\nv. take up, as of debts or payments\nv. take in, also metaphorically"
abstract,"a. 抽象的, 深奥的\nn. 摘要, 抽象概念\nvt. 摘要, 提炼, 使抽象化\n[计] 摘录; 摘要; 抽象",'æbstrækt,,v. consider a concept without thinking of a specific example; consider abstractly or theoretically\nv. consider apart from a particular case or instance\nv. give an abstract (of)\na. existing only in the mind; separated from embodiment
absurd,"a. 荒谬的, 不合理的, 可笑的\nn. 荒诞",әb'sә:d,,n. a situation in which life seems irrational and meaningless\ns. inconsistent with reason or logic or common sense\ns. incongruous; inviting ridicule
abundance,"n. 丰富, 充足, 大量\n[经] 丰富, 充裕",ә'bʌndәns,,n. the property of a more than adequate quantity or supply\nn. (physics) the ratio of the number of atoms of a specific isotope of an element to the total number of isotopes present\nn. (chemistry) the ratio of the total mass of an element in the earth's crust to the total mass of the earth's crust; expressed as a percentage or in parts per million
abundant,"a. 丰富的, 充分的, 大量的",ә'bʌndәnt,,a. present in great quantity
abuse,"n. 滥用, 虐待, 恶习, 辱骂\nvt. 滥用, 辱骂, 虐待",ә'bju:s.ә'bju:z,,n. a rude expression intended to offend or hurt\nv. use foul or abusive language towards\nv. use wrongly or improperly or excessively
academic,"a. 学院的, 学术的, 不切实际的\nn. 大学生, 大学教师, 学者, 学会会员",.ækә'demik,,a. associated with academia or an academy\ns. hypothetical or theoretical and not expected to produce an immediate or practical result\ns. marked by a narrow focus on or display of learning especially its trivial aspects
academy,"n. 学院, 院校, 学会",ә'kædәmi,,n. a secondary school (usually private)\nn. an institution for the advancement of art or science or literature\nn. a school for special training\nn. a learned establishment for the advancement of knowledge
accelerate,"v. 加速, 促进",әk'selәreit,,v. move faster\nv. cause to move faster
accent,"n. 重音, 口音, 特点, 注重点\nvt. 重读, 加重音号于, 强调",'æksәnt,,n. distinctive manner of oral expression\nn. a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍\nvi. 同意",әk'sept,,v. consider or hold as true\nv. receive willingly something given or offered\nv. give an affirmative reply to; respond favorably to\nv. react favorably to; consider right and proper
acceptance,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信\n[经] 承兑, 认付, (工程)验收",әk'septәns,,n. the state of being acceptable and accepted\nn. (contract law) words signifying consent to the terms of an offer (thereby creating a contract)\nn. banking: a time draft drawn on and accepted by a bank\nn. the act of taking something that is offered
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作\nvt. 访问, 存取, 接近, 使用\n[计] 访问, 存取",'ækses,,n. the right to obtain or make use of or take advantage of something (as services or membership)\nn. a way of entering or leaving\nn. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)\nn. (computer science) the operation of reading or writing stored information
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋\na. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的\n[计] 附件",әk'sesәri,,"n. clothing that is worn or carried, but not part of your main clothing\nn. a supplementary component that improves capability\nn. someone who helps another person commit a crime\ns. furnishing added support"
accident,"n. 意外事件, 机遇, 事故, 次要方面\n[化] 意外事故; 事故",'æksidәnt,,n. an unfortunate mishap; especially one causing damage or injury\nn. anything that happens suddenly or by chance without an apparent cause
accidental,"a. 意外的, 偶然的, 非主要的, 附属的\nn. 临时记号, 次要方面",.æksi'dentl,,n. a musical notation that makes a note sharp or flat or natural although that is not part of the key signature\ns. happening by chance or unexpectedly or unintentionally
acclaim,"n. 喝彩, 欢呼, 赞同\nv. 欢呼, 喝彩, 称赞",ә'kleim,,n. enthusiastic approval\nv. praise vociferously
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供\nvi. 适应",ә'kɒmәdeit,,v. provide with something desired or needed\nv. have room for; hold without crowding\nv. make (one thing) compatible with (another)
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款\n[医] 调节(眼); 适应",ә.kɒmә'deiʃәn,,n. a settlement of differences\nn. in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality\nn. living quarters provided for public convenience\nn. the act of providing something (lodging or seat or food) to meet a need
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏\nvi. 伴奏, 伴唱",ә'kʌmpәni,,v. go or travel along with
